Optimization Stage,Total Jobs,Total Full Time Jobs,Total Contract Jobs,Salary Disclosed Jobs,Expiring Jobs,Average Days Ago,Most Common Country,Most Common Industry,Total Processing Time (seconds),CPU Usage (%),Memory Usage (MB),Throughput (records/second)
Pandas Optimization,113007.0,101609.0,9444.0,48869.0,14831.0,14.48,Malaysia,Unknown,0.9,49.16,466.71,126058.92
Polars Optimization,113007.0,101609.0,9444.0,48869.0,14831.0,14.48,Malaysia,Unknown,0.18,89.71,466.74,626825.45
DuckDB Optimization,113007.0,101609.0,9444.0,48869.0,14831.0,14.48,Malaysia,Unknown,0.22,67.18,439.83,517758.58
