Framework,Version,Run,Total_Time_sec,Avg_CPU_percent,Peak_Memory_MB,Throughput_rec_per_sec
Pandas,Baseline,1,2.1938,94.61,974.49,86333.46
Pandas,Baseline,2,2.2513,94.09,1213.98,84128.97
Pandas,Baseline,3,2.2392,93.04,1379.19,84582.96
Pandas,Baseline,Average,2.2281,93.91,1379.19,85015.13
Dask,Baseline,1,2.7495,107.27,1201.5,68883.39
Dask,Baseline,2,2.0416,115.54,1134.41,92769.1
Dask,Baseline,3,1.9818,115.81,1137.43,95567.8
Dask,Baseline,Average,2.2576,112.87,1137.43,85740.1
PySpark,Baseline,1,3.7171,8.61,939.18,50954.34
PySpark,Baseline,2,0.646,9.4,1016.09,293179.51
PySpark,Baseline,3,0.4698,11.26,1076.33,403160.43
PySpark,Baseline,Average,1.611,9.76,1076.33,249098.09
