Library,Run #,Time (s),CPU (%),Peak Memory (MB),Process Memory (MB),Records Returned,Throughput,Speedup vs Pandas,Winner
Pandas,1,0.0227,137.89,1.451,507.5,23276,8755752.85,1.011,
Pandas,2,0.0234,133.48,1.449,508.38,23276,8475561.58,0.979,
Pandas,3,0.0221,212.55,1.45,508.39,23276,8997701.02,1.039,
Pandas,4,0.0245,190.94,1.449,508.39,23276,8082976.9,0.933,
Pandas,5,0.0219,214.09,1.45,508.39,23276,9062547.1,1.047,
Pandas,Avg,0.0229,177.79,1.45,508.21,23276,8674907.89,1.0,YES
Polars,1,0.0829,565.16,0.057,499.93,23276,2392408.59,0.276,
Polars,2,0.0839,484.38,0.057,489.09,23276,2365928.46,0.273,
Polars,3,0.0808,367.53,0.057,492.95,23276,2456515.87,0.284,
Polars,4,0.0838,540.83,0.058,487.98,23276,2368340.02,0.273,
Polars,5,0.0848,497.27,0.057,470.18,23276,2338924.79,0.27,
Polars,Avg,0.0832,491.03,0.057,488.03,23276,2384423.55,0.275,
Multiprocessing,1,2.0367,532.41,9.95,476.19,23276,97425.96,0.011,
Multiprocessing,2,2.1226,526.33,9.951,476.7,23276,93484.74,0.011,
Multiprocessing,3,2.1714,529.62,9.942,477.11,23276,91384.24,0.011,
Multiprocessing,4,2.1154,516.29,9.935,477.11,23276,93800.61,0.011,
Multiprocessing,5,1.9955,519.93,9.903,477.11,23276,99440.44,0.011,
Multiprocessing,Avg,2.0883,524.92,9.936,476.84,23276,95107.2,0.011,
PySpark,1,1.2276,169.29,0.111,476.11,23276,161645.8,0.019,
PySpark,2,1.1402,156.22,0.113,476.11,23276,174032.35,0.02,
PySpark,3,1.1725,163.91,0.111,476.11,23276,169236.51,0.02,
PySpark,4,1.0837,142.74,0.112,476.11,23276,183106.62,0.021,
PySpark,5,1.215,151.75,0.111,476.11,23276,163313.4,0.019,
PySpark,Avg,1.1678,156.78,0.112,476.11,23276,170266.94,0.02,
