Operation,Library,Run #,Time (s),CPU (%),Peak Memory (MB),Process Memory (MB),Records Returned,Throughput,Speedup vs Pandas,Winner
Find Popular Listings,Polars,5,0.0848,497.27,0.057,470.18,23276,2338924.79,0.27,
Find Popular Listings,Polars,Avg,0.0832,491.03,0.057,488.03,23276,2384423.55,0.275,
Find Popular Listings,Multiprocessing,1,2.0367,532.41,9.95,476.19,23276,97425.96,0.011,
Find Popular Listings,Multiprocessing,2,2.1226,526.33,9.951,476.7,23276,93484.74,0.011,
Find Popular Listings,Multiprocessing,3,2.1714,529.62,9.942,477.11,23276,91384.24,0.011,
Find Popular Listings,Multiprocessing,4,2.1154,516.29,9.935,477.11,23276,93800.61,0.011,
Find Popular Listings,Multiprocessing,5,1.9955,519.93,9.903,477.11,23276,99440.44,0.011,
Find Popular Listings,Multiprocessing,Avg,2.0883,524.92,9.936,476.84,23276,95107.2,0.011,
Find Popular Listings,PySpark,1,1.2276,169.29,0.111,476.11,23276,161645.8,0.019,
Find Popular Listings,PySpark,2,1.1402,156.22,0.113,476.11,23276,174032.35,0.02,
Find Popular Listings,PySpark,3,1.1725,163.91,0.111,476.11,23276,169236.51,0.02,
Find Popular Listings,PySpark,4,1.0837,142.74,0.112,476.11,23276,183106.62,0.021,
Find Popular Listings,PySpark,5,1.215,151.75,0.111,476.11,23276,163313.4,0.019,
Find Popular Listings,PySpark,Avg,1.1678,156.78,0.112,476.11,23276,170266.94,0.02,
Top 10 per Category,Pandas,1,0.1498,125.15,29.168,477.25,1363,1324441.38,1.051,
Top 10 per Category,Pandas,2,0.1843,110.22,29.165,477.25,1363,1076682.91,0.855,
Top 10 per Category,Pandas,3,0.1342,116.46,29.164,477.35,1363,1478986.77,1.174,
Top 10 per Category,Pandas,4,0.1521,123.28,29.164,477.4,1363,1304640.26,1.036,
Top 10 per Category,Pandas,5,0.1671,130.9,29.165,477.4,1363,1187373.55,0.942,
Top 10 per Category,Pandas,Avg,0.1575,121.2,29.165,477.33,1363,1274424.98,1.0,
Top 10 per Category,Polars,1,0.1141,452.07,0.057,523.04,1363,1739710.99,1.381,
Top 10 per Category,Polars,2,0.1272,515.73,0.058,595.87,1363,1559410.03,1.238,
Top 10 per Category,Polars,3,0.1605,428.3,0.097,622.75,1363,1236185.28,0.981,
Top 10 per Category,Polars,4,0.1309,453.7,0.058,630.61,1363,1516261.13,1.203,
Top 10 per Category,Polars,5,0.122,486.85,0.058,633.11,1363,1627019.33,1.291,
Top 10 per Category,Polars,Avg,0.1309,467.33,0.066,601.08,1363,1535717.35,1.203,YES
Top 10 per Category,Multiprocessing,1,2.491,432.81,9.9,633.11,1363,79658.4,0.063,
Top 10 per Category,Multiprocessing,2,2.6501,432.18,9.942,633.11,1363,74876.24,0.059,
Top 10 per Category,Multiprocessing,3,2.5011,464.79,9.948,633.1,1363,79335.55,0.063,
Top 10 per Category,Multiprocessing,4,2.2026,500.13,9.906,633.1,1363,90089.88,0.072,
Top 10 per Category,Multiprocessing,5,2.0446,523.47,9.897,632.11,1363,97048.3,0.077,
Top 10 per Category,Multiprocessing,Avg,2.3779,470.67,9.918,632.91,1363,84201.68,0.066,
Top 10 per Category,PySpark,1,1.652,232.67,0.104,632.11,1363,120111.43,0.095,
Top 10 per Category,PySpark,2,1.3612,156.11,0.105,632.11,1363,145770.62,0.116,
Top 10 per Category,PySpark,3,1.429,136.68,0.103,632.08,1363,138856.73,0.11,
Top 10 per Category,PySpark,4,1.2986,167.25,0.102,632.08,1363,152802.78,0.121,
Top 10 per Category,PySpark,5,1.3758,147.64,0.104,632.08,1363,144224.65,0.114,
Top 10 per Category,PySpark,Avg,1.4233,168.07,0.104,632.09,1363,140353.24,0.111,
Keyword Search,Pandas,1,1.0487,98.33,0.905,632.5,18172,189211.29,0.91,
Keyword Search,Pandas,2,0.9662,101.88,0.905,632.5,18172,205365.91,0.988,
Keyword Search,Pandas,3,0.9141,102.56,0.904,632.51,18172,217067.6,1.044,
Keyword Search,Pandas,4,0.907,99.92,0.905,632.51,18172,218777.35,1.052,
Keyword Search,Pandas,5,0.9347,100.3,0.904,632.51,18172,212285.53,1.021,
Keyword Search,Pandas,Avg,0.9542,100.6,0.905,632.51,18172,208541.54,1.0,
Keyword Search,Polars,1,0.0866,613.24,0.058,542.31,18172,2290529.17,11.014,
Keyword Search,Polars,2,0.0892,402.77,0.058,482.99,18172,2223914.57,10.694,
Keyword Search,Polars,3,0.0868,485.95,0.058,482.14,18172,2285666.56,10.991,
Keyword Search,Polars,4,0.0856,419.68,0.058,475.89,18172,2317248.48,11.143,
Keyword Search,Polars,5,0.0871,466.27,0.058,480.26,18172,2277468.52,10.951,
Keyword Search,Polars,Avg,0.0871,477.58,0.058,492.72,18172,2278965.46,10.957,YES
Keyword Search,Multiprocessing,1,2.2115,533.43,9.949,481.41,18172,89725.39,0.431,
Keyword Search,Multiprocessing,2,2.1485,531.63,9.894,481.59,18172,92358.36,0.444,
Keyword Search,Multiprocessing,3,2.3127,492.53,9.941,481.59,18172,85801.02,0.413,
Keyword Search,Multiprocessing,4,2.1903,544.3,9.905,481.59,18172,90593.71,0.436,
Keyword Search,Multiprocessing,5,2.1501,552.29,9.895,481.59,18172,92287.15,0.444,
Keyword Search,Multiprocessing,Avg,2.2026,530.84,9.917,481.55,18172,90153.12,0.433,
Keyword Search,PySpark,1,1.5376,173.77,0.087,481.59,18172,129053.03,0.621,
Keyword Search,PySpark,2,1.42,149.65,0.087,481.59,18172,139742.99,0.672,
Keyword Search,PySpark,3,1.4006,152.84,0.086,481.59,18172,141678.85,0.681,
Keyword Search,PySpark,4,1.3681,138.2,0.085,481.59,18172,145044.66,0.697,
Keyword Search,PySpark,5,1.398,148.65,0.086,481.59,18172,141941.87,0.683,
Keyword Search,PySpark,Avg,1.4248,152.62,0.086,481.59,18172,139492.28,0.67,
Add Seller Stats,Pandas,1,0.227,110.13,15.767,489.93,198429,874104.22,1.012,
Add Seller Stats,Pandas,2,0.2108,111.17,15.765,489.93,198429,941200.19,1.09,
Add Seller Stats,Pandas,3,0.2318,107.86,15.766,489.94,198429,856128.08,0.991,
Add Seller Stats,Pandas,4,0.2451,108.38,15.766,473.12,198429,809616.21,0.937,
Add Seller Stats,Pandas,5,0.2341,106.81,15.769,480.16,198429,847799.5,0.982,
Add Seller Stats,Pandas,Avg,0.2298,108.87,15.767,484.62,198429,865769.64,1.0,
Add Seller Stats,Polars,1,0.1211,464.5,0.059,591.63,198429,1638587.39,1.897,
Add Seller Stats,Polars,2,0.1206,479.29,0.059,688.67,198429,1645065.9,1.905,
Add Seller Stats,Polars,3,0.1236,556.11,0.059,703.14,198429,1605078.88,1.858,
Add Seller Stats,Polars,4,0.1286,437.34,0.06,700.83,198429,1542787.43,1.786,
Add Seller Stats,Polars,5,0.1266,555.51,0.059,727.27,198429,1567691.63,1.815,
Add Seller Stats,Polars,Avg,0.1241,498.55,0.059,682.31,198429,1599842.24,1.851,YES
Add Seller Stats,Multiprocessing,1,3.087,427.7,100.235,776.75,198429,64278.84,0.074,
Add Seller Stats,Multiprocessing,2,3.571,399.49,100.222,826.06,198429,55567.45,0.064,
Add Seller Stats,Multiprocessing,3,3.3634,421.36,100.231,815.8,198429,58997.0,0.068,
Add Seller Stats,Multiprocessing,4,3.4316,403.87,100.238,833.54,198429,57823.56,0.067,
Add Seller Stats,Multiprocessing,5,3.4653,396.8,100.233,831.33,198429,57262.5,0.066,
Add Seller Stats,Multiprocessing,Avg,3.3836,409.84,100.232,816.7,198429,58785.87,0.068,
Add Seller Stats,PySpark,1,2.8004,230.44,0.1,773.92,198429,70858.05,0.082,
Add Seller Stats,PySpark,2,2.0973,187.0,0.1,773.92,198429,94611.23,0.11,
Add Seller Stats,PySpark,3,2.0632,186.3,0.098,772.92,198429,96174.5,0.111,
Add Seller Stats,PySpark,4,2.0252,166.65,0.1,772.92,198429,97977.93,0.113,
Add Seller Stats,PySpark,5,1.8932,137.0,0.1,772.92,198429,104811.69,0.121,
Add Seller Stats,PySpark,Avg,2.1759,181.48,0.1,773.32,198429,92886.68,0.106,
