Library,Run #,Time (s),CPU (%),Peak Memory (MB),Process Memory (MB),Records Returned,Throughput,Speedup vs Pandas,Winner
Pandas,1,0.1498,125.15,29.168,477.25,1363,1324441.38,1.051,
Pandas,2,0.1843,110.22,29.165,477.25,1363,1076682.91,0.855,
Pandas,3,0.1342,116.46,29.164,477.35,1363,1478986.77,1.174,
Pandas,4,0.1521,123.28,29.164,477.4,1363,1304640.26,1.036,
Pandas,5,0.1671,130.9,29.165,477.4,1363,1187373.55,0.942,
Pandas,Avg,0.1575,121.2,29.165,477.33,1363,1274424.98,1.0,
Polars,1,0.1141,452.07,0.057,523.04,1363,1739710.99,1.381,
Polars,2,0.1272,515.73,0.058,595.87,1363,1559410.03,1.238,
Polars,3,0.1605,428.3,0.097,622.75,1363,1236185.28,0.981,
Polars,4,0.1309,453.7,0.058,630.61,1363,1516261.13,1.203,
Polars,5,0.122,486.85,0.058,633.11,1363,1627019.33,1.291,
Polars,Avg,0.1309,467.33,0.066,601.08,1363,1535717.35,1.203,YES
Multiprocessing,1,2.491,432.81,9.9,633.11,1363,79658.4,0.063,
Multiprocessing,2,2.6501,432.18,9.942,633.11,1363,74876.24,0.059,
Multiprocessing,3,2.5011,464.79,9.948,633.1,1363,79335.55,0.063,
Multiprocessing,4,2.2026,500.13,9.906,633.1,1363,90089.88,0.072,
Multiprocessing,5,2.0446,523.47,9.897,632.11,1363,97048.3,0.077,
Multiprocessing,Avg,2.3779,470.67,9.918,632.91,1363,84201.68,0.066,
PySpark,1,1.652,232.67,0.104,632.11,1363,120111.43,0.095,
PySpark,2,1.3612,156.11,0.105,632.11,1363,145770.62,0.116,
PySpark,3,1.429,136.68,0.103,632.08,1363,138856.73,0.11,
PySpark,4,1.2986,167.25,0.102,632.08,1363,152802.78,0.121,
PySpark,5,1.3758,147.64,0.104,632.08,1363,144224.65,0.114,
PySpark,Avg,1.4233,168.07,0.104,632.09,1363,140353.24,0.111,
