Library,Run #,Time (s),CPU (%),Peak Memory (MB),Process Memory (MB),Records Returned,Throughput,Speedup vs Pandas,Winner
Pandas,1,1.0487,98.33,0.905,632.5,18172,189211.29,0.91,
Pandas,2,0.9662,101.88,0.905,632.5,18172,205365.91,0.988,
Pandas,3,0.9141,102.56,0.904,632.51,18172,217067.6,1.044,
Pandas,4,0.907,99.92,0.905,632.51,18172,218777.35,1.052,
Pandas,5,0.9347,100.3,0.904,632.51,18172,212285.53,1.021,
Pandas,Avg,0.9542,100.6,0.905,632.51,18172,208541.54,1.0,
Polars,1,0.0866,613.24,0.058,542.31,18172,2290529.17,11.014,
Polars,2,0.0892,402.77,0.058,482.99,18172,2223914.57,10.694,
Polars,3,0.0868,485.95,0.058,482.14,18172,2285666.56,10.991,
Polars,4,0.0856,419.68,0.058,475.89,18172,2317248.48,11.143,
Polars,5,0.0871,466.27,0.058,480.26,18172,2277468.52,10.951,
Polars,Avg,0.0871,477.58,0.058,492.72,18172,2278965.46,10.957,YES
Multiprocessing,1,2.2115,533.43,9.949,481.41,18172,89725.39,0.431,
Multiprocessing,2,2.1485,531.63,9.894,481.59,18172,92358.36,0.444,
Multiprocessing,3,2.3127,492.53,9.941,481.59,18172,85801.02,0.413,
Multiprocessing,4,2.1903,544.3,9.905,481.59,18172,90593.71,0.436,
Multiprocessing,5,2.1501,552.29,9.895,481.59,18172,92287.15,0.444,
Multiprocessing,Avg,2.2026,530.84,9.917,481.55,18172,90153.12,0.433,
PySpark,1,1.5376,173.77,0.087,481.59,18172,129053.03,0.621,
PySpark,2,1.42,149.65,0.087,481.59,18172,139742.99,0.672,
PySpark,3,1.4006,152.84,0.086,481.59,18172,141678.85,0.681,
PySpark,4,1.3681,138.2,0.085,481.59,18172,145044.66,0.697,
PySpark,5,1.398,148.65,0.086,481.59,18172,141941.87,0.683,
PySpark,Avg,1.4248,152.62,0.086,481.59,18172,139492.28,0.67,
