Library,Run #,Time (s),CPU (%),Peak Memory (MB),Process Memory (MB),Records Returned,Throughput,Speedup vs Pandas,Winner
Pandas,1,5.3765,100.84,17.676,266.25,881,36906.84,0.998,
Pandas,2,5.6371,98.4,16.972,266.29,881,35200.38,0.952,
Pandas,3,5.2923,98.9,16.972,266.3,881,37493.62,1.014,
Pandas,4,5.2489,99.43,16.97,266.25,881,37803.81,1.023,
Pandas,5,5.2832,100.55,16.971,266.26,881,37558.23,1.016,
Pandas,Avg,5.3676,99.63,17.112,266.27,881,36992.58,1.0,
Polars,1,0.1275,441.34,0.06,409.07,881,1556868.8,42.114,
Polars,2,0.1413,353.78,0.064,457.13,881,1403994.01,37.979,
Polars,3,0.0962,454.81,0.057,471.73,881,2062789.45,55.8,
Polars,4,0.0906,396.67,0.063,482.97,881,2190233.25,59.247,
Polars,5,0.0884,547.89,0.064,473.3,881,2244504.37,60.715,
Polars,Avg,0.1088,438.9,0.062,458.84,881,1891677.98,49.336,YES
Multiprocessing,1,4.2956,339.01,65.6,502.19,881,46193.95,1.25,
Multiprocessing,2,4.1585,362.59,62.907,504.75,881,47716.8,1.291,
Multiprocessing,3,4.2199,354.72,62.887,504.88,881,47022.1,1.272,
Multiprocessing,4,4.2338,355.77,62.923,507.05,881,46867.68,1.268,
Multiprocessing,5,4.2543,357.72,62.89,507.18,881,46641.73,1.262,
Multiprocessing,Avg,4.2324,353.96,63.441,505.21,881,46888.45,1.268,
PySpark,1,1.7366,237.53,0.2,507.05,881,114263.3,3.091,
PySpark,2,1.4308,185.65,0.2,507.05,881,138685.24,3.752,
PySpark,3,1.4424,186.32,0.195,507.05,881,137567.4,3.721,
PySpark,4,1.4708,180.59,0.2,507.05,881,134908.46,3.649,
PySpark,5,1.3703,192.7,0.194,507.05,881,144805.24,3.917,
PySpark,Avg,1.4902,196.56,0.198,507.05,881,134045.93,3.602,
