author,comment,likes,published_at,reply_count
@darkwizz4655,"Aku betol2 respect orang yg first dan akhir dalam video ni sebab dua orang ni nampak betol2 ikhlas, dia bagi lagi banyak dari ape yg orang mintak.. Syabas bro👏.. Muke ganas tapi hati baik, salute 😎👋",134,2020-05-27 09:50,1
@arsh9969,“Aku lupa saya punya wallet dekat grab saya” -naviend 2020😂👍🏻,117,2020-05-25 11:08,5
@dukejali1638,"budak serawak mmg bgs2.. aku duk serawak setahun dh,tp bdk2 serawak mcm2 bangsa sambut aku mcm ngan cara baik.. wlu pun muka bdk2 serawak ni nmpk ganas2 tp hati dorg jauh beza.. sbb 2 aku selesa duk serawak..",116,2020-07-13 04:45,9
@aiimanhkmi9334,6:42 start the epic scene huaaa,115,2020-05-25 11:49,0
@Rose-lr5pz,"Selamat hari raya isa isarb maaf zahir dan batin


Salam dari : Malaysia",114,2020-05-25 12:09,0
@atuladawiyah5921,"Assalamualaikum  bang saya ingin mohon sedikit sumbangan untuk sebuah keluarga yg sedang dalam kesusahan dan saya telah pon pergi ke rumah mereka di tanjung malim perak untuk pastikan kesahihan cerita keluarga mereka dan segalanye disahkan benar..

Senarai keperluan yang diperlukn
Susu bayi
Lampin pakai buang bayi
Barang makanan asas
Barang terpakai untuk bayi
Anggaran kos sekitar rm 200

Segala sumbangan boleh trus disalurkan ke akaun ayah penerima terbabit

1013029000146436
Bsn
Muhd hassan",108,2020-05-25 19:09,4
@nasuharosly3638,Nk nangis kalau ramai macam brother My Car tu . Semoga murah rezeki abg ya .. Dan semoga abg dapat ikhlas membantu yang lain ❤ . Chopp ! Dulu aku tak suka Isa ada sebab dia . Tapi betul lah orang tua2 kata jangan tengok luaran jangan judge dari depan kalau tak tahu isi (video) . Love you Isa . Semoga maju jaya and berjaya menolong rakyat Malaysia dan orang2 luar yang betul2 memerlukan ❤ .,107,2020-05-29 22:35,0
@chan5186,"Sy slalu berpegang, semakin bnyk memberi(sedekah) semakin bnyk lg yg akan Allah berikan...",100,2020-05-26 11:05,2
@cafergot,your boy back in action...we want more and more like this..,93,2020-05-25 15:05,0
@cikbieybiey4324,"Proud to be sarawakian,.❤❤❤❤❤❤❤god job isa,..selama ni tak terfkir tak nak subscribe you punya channel..",89,2020-09-01 18:02,7
@zulfikry3213,"Yo wasssup"" it's your boy",88,2020-05-25 10:16,4
@abangkhaireen3569,MashaAllah isarb.tak banyak org mcm ni ada kat dunia ni😊❤️.Smoga berjaya dunia dan Akhirat isa💯.,83,2020-05-25 11:41,1
@coffeeletto_1595,7:28 sedih weh snggup dia tkar duit kecik😭😭 so proud,73,2020-05-26 11:23,0
@adibzafran4118,Kadang2 kan orang yang memerlukan tu yg bgi sedekah. Sampai sanggup pergi tukar semata ii nak sedekah. Allahuakbar. Sungguh mulia hamba mu Ya Allah,68,2020-05-25 11:47,0
@ainkamarul4033,"Isarbb, im crying all over tengok this video 😭😭 sedih sangatt.. May Allah bless your path ya 🙏🏻",67,2020-05-28 14:48,2
@mr.perfect6922,Bagi aku Isa issarb nie dia youtuber yg nice la sebab Isa issarb nie pemurah dia open mata aku untuk aku bagi duit dekat org walaupun aku x berape sgt ade duit nice la youtuber mcm.die nie aku support kau Isa issarb,67,2020-07-07 11:49,0
@solahhafriz607,"Salam semua warga malaysia aku teringin sangat jadi macam isa ni ,, dah senang tak lupa tolong2 orang tak kira agama dan bangsa,, walaupun aku seorang yang bukan juga anak orang senang aku harap sangat orang2 suport aku tapi aku tak tahu nk mula dari mana, lagi2 aku  kehilangan seorang kawan rapat dalam satu kemalanagn bersama dia,, sampai aku lumpuh dah koma so alhamdulillah aku dah sembuh ,cukup 5k like ni tanda memberi aku semangat dan sokongan aku akan buat channel aku sendiri nanti in sya allah..",66,2020-09-08 13:48,2
@dshafifidman7308,Alhamdulillah ada orang kaya jutawan yang dermawan mcm saudara ISA...semoga diperluaskan lagi rezeki dariNYA...aamin,66,2020-05-26 01:53,0
@dark_sidedark_side7493,Alhamdulillah satu hari nanti Allah akan balas balik perbuatan korang yg suka membantu orang lain.....😊😁,64,2020-05-25 10:33,0
@masdodoguy1196,"1. Adsense
2. Brand Sponsorship
3. Merch
4. Affiliate Marketing

This guy is making very good revenue with it and he giving it back. Good Job Isa!",64,2020-05-30 10:06,2
@adihui1130,"Ya Allah ...Alhamdulillah masih ada di Malaysia org yg mau tolong org yg susah macam Isa isarb, semoga biar pun duit nya gak banyak tapi bagi org yg susah duit sangat besar nilai nya .. trus ber buat baik abang Isa isarb semoga apa yg Abang buat sekarang Allah kan balas di syurga nya aminnn....ya Allah",63,2020-06-07 12:52,1
@jdd-d4181,"12:47 """"eeeeiii lu org apa""""  musibat punya anne..hahaha.tak lain tak bukan ,mesti dy syak isa ni org rohingya ..tu pasal dy kompius😂😂😂",63,2020-05-25 13:30,2
@meiofahoy4069,8:26 org sarawak baik baik😊,63,2020-05-25 12:55,7
@yattschannel1449,Malaysian soul always get me tears😢♥️,63,2020-05-25 10:52,0
@pcsawesome2718,"Hi saudara Isa, you are blessed...do you mind to collaborate with Uncle Kentang ...you can help the needy and poor ..stay blessed 😃",63,2020-06-15 13:17,1
@shadoweo91,8:33. God bless u bro. Sarawakian. 👏🏻👏🏻👏🏻🙏🏻🙏🏻,63,2020-06-23 17:22,0
@woolee3458,"navien ni sumpah lawak do
""bro do u have rm2 or rm3  ke?  aku lupa letak wallet saya dekat grab""

main bantai je dia aku kau 😂😂😂😂😂😂😂",61,2020-05-25 10:17,3
@zanariahabdhadi4046,Seruis aa p minx sedekah pakai baju ISARB 😂 wkwkwk yg setuju like,58,2020-05-26 07:45,1
@iamsyafiq2618,"This will remind everyone that, The More You Give, The More You Will Get ❤️🤍🤟🏻",53,2020-05-25 10:34,0
@TripleIIIChannel,"Selamat Hari Raya MZDB ✨💯
-
- 
TOLONG AKU YOUTUBER PEMULA MALAYSIA 😭😭
GUYS TOLONG SUBSCRIBE YOUTUBE CHANNEL AKU GUYS NANTI AKU SUBSCRIBE KORANG BALIK !! COMMENT KAT BAWAH DONE JE ! KAT CHANNEL AKU AKU REVIEW MAKANAN YG VIRAL YG TRENDING !! MEH SINGGAH DAN JANGAN LUPA SUBSCRIBE TAUUU SRS TAK RUGI KALAU KORANG SINGGAH SBB ADA GIVEAWAY UNTUK KORANG !!",52,2020-05-25 11:24,14
@zakwanzuraini5238,"Because of these people, this vid deserve like.",52,2020-05-27 00:34,0
@azren1512,"Pakcik:""tengah angkat barang""
Isa: 11:25
Pakcik:tiber😂",51,2020-05-25 14:58,2
@cropremixsong5240,Sapa potong bawang pagi buta ni... Yang bagi tu aku Doakan semoga berjaya dunia akhirat dan yang tak bagi tu semoga Allah murahkan rezeki korang. Video yang bermanfaat untuk semua. Terbaik Isa isarb.. Selamat Hari Raya Aidilfitri Maaf Zahir Dan Batin untuk Isa Isarb dan team serta semua yang menonton video Isa Isarb.,50,2020-05-25 19:20,0
@maelmael8467,Aku respect 2 org brader tu yg bg rm20 kt shah..dia pernah merasa susah jd niat dia memang ikhlas nak membantu...rase touching.. respect bro,49,2020-05-26 01:18,0
@mohammadarvinabdullah9482,Sesiapa yg mampu untuk membantu just bantu je org yg memerlukan...just make their life better....coz kita tak tahu 1 hari nanti ape nasib kita pula...just buat perkara baik2 and be nice to people tak kira ape bangsa sekali pun...dan jangan lupe juga ke binatang2 yg kebuluran dimana2...stanby makanan dlm kereta kalo ada terjumpe makluk2 allah ini...,48,2020-05-25 11:49,0
@markmahendran3713,"Good content Isa, you're doing wonders helping out people,terbaik ah!",45,2020-06-01 03:04,0
@ahcong5641,14:10 baiknya brader ni😭,44,2020-05-25 13:23,0
@haney9226,"Dari video y saya tengok ni. Y geng isarb y lebih baik hati . To malaysian, as a nurse . Aku jumpa ramai sgt5 org susah. Please lah lembutkan hati . Bantu lah. Kalau bukan kita , siapalah. Jgn tkut kogsi rezeki. Aku taggug ramai . Kdag gaji tu baki cukup makan. Pernah tgal rm10 je. Minyak kreta xisi. Ade pulak pesakit makcik pakcik xde duit tambag nk balik. Aku bg die rm5. Tawakal je hdup kt bumi Allah ni. Bile orag susah pleaselah jgn sombong . Bantulah sedaya mugkin.",44,2020-07-06 12:46,0
