Run,Rows In,Rows Out,Time (s),Avg CPU (%),Peak RAM (MB),Throughput (rps)
Run 1,123501,121796,28.4978,74.1,1861.6,4334.0
Run 2,123501,121796,31.4177,76.7,2489.4,3931.0
Run 3,123501,121796,27.445,70.0,2542.7,4500.0
Run 4,123501,121796,25.6502,73.5,2578.5,4815.0
Run 5,123501,121796,24.9111,65.4,2597.2,4958.0
Average (Min/Max Removed),123501,121796,27.1977,72.5,2327.6,4550.0
