Query Time seconds,,,,,,,,Final Results,,,,
,Cycle 1,Cycle 2,Cycle 3,Average,,,,,Query Time,Memory Usage,CPU Usage,Throughput
Query 1,0.0922,0.0682,0.0796,0.08,,,,Query 1,0.08 ,10.25 ,60.50 ,1459580.94 
Query 2,0.0776,0.0485,0.0524,0.0595,,,,Query 2,0.06 ,10.25 ,63.98 ,2016209.76 
Query 3,0.1,0.0948,0.0896,0.0948,,,,Query 3,0.09 ,10.27 ,58.33 ,1215580.05 
Query 4,0.0718,0.0826,0.0743,0.076233333,,,,Query 4,0.08 ,10.27 ,50.00 ,1514009.44 
Query 5,0.0704,0.0770 ,0.0817,0.076366667,,,,Query 5,0.08 ,10.27 ,46.67 ,1511455.57 
,,,,,,,,,,,,
Memory usage (%),,,,,,,,,,,,
,Cycle 1,Cycle 2,Cycle 3,Average,,,,,,,,
Query 1,9.85%,10.50%,10.40%,10.25,,,,,,,,
Query 2,9.85%,10.50%,10.40%,10.25,,,,,,,,
Query 3,9.90%,10.50%,10.40%,10.26666667,,,,,,,,
Query 4,9.90%,10.50%,10.40%,10.26666667,,,,,,,,
Query 5,9.90%,10.50%,10.40%,10.26666667,,,,,,,,
,,,,,,,,,,,,
CPU usage (%),,,,,,,,,,,,
,Cycle 1,Cycle 2,Cycle 3,Average,,,,,,,,
Query 1,79.35%,46.05%,56.10%,60.5,,,,,,,,
Query 2,65.05%,43.55%,83.35%,63.98333333,,,,,,,,
Query 3,25.00%,75.00%,75.00%,58.33333333,,,,,,,,
Query 4,25.00%,75.00%,50.00%,50,,,,,,,,
Query 5,65.00%,50.00%,25.00%,46.66666667,,,,,,,,
,,,,,,,,,,,,
Throughput (records per second),,,,,,,,,,,,
,Cycle 1,Cycle 2,Cycle 3,Average,,,,,,,,
Query 1,1247389.11,1687060.50 ,1444293.2,1459580.937,,,,,,,,
Query 2,1482431.62,2369427.79,2196769.87,2016209.76,,,,,,,,
Query 3,1149561.61,1212996.21,1284182.32,1215580.047,,,,,,,,
Query 4,1602675.24,1392454.88,1546898.19,1514009.437,,,,,,,,
Query 5,1634605.35,1492818.78,1406942.57,1511455.567,,,,,,,,
