Query Time seconds,,,,,,,,Final Results,,,,
,Cycle 1,Cycle 2,Cycle 3,Average,,,,,Query Time,Memory Usage,CPU Usage,Throughput
Query 1,17.17,1.76,1.25,6.726666667,,,,Query 1,6.73 ,3.12 ,17.17 ,7.61 
Query 2,2.58,1.05,1.33,1.653333333,,,,Query 2,1.65 ,3.12 ,48.92 ,21.61 
Query 3,1.77,1.29,1.61,1.556666667,,,,Query 3,1.56 ,3.12 ,42.50 ,10.45 
Query 4,1.44,1.75,1.02,1.403333333,,,,Query 4,1.40 ,3.12 ,32.73 ,11.97 
Query 5,2.23,1.16,0.94,1.443333333,,,,Query 5,1.44 ,3.12 ,55.35 ,2.37 
,,,,,,,,,,,,
Memory usage (%),,,,,,,,,,,,
,Cycle 1,Cycle 2,Cycle 3,Average,,,,,,,,
Query 1,2.81%,3.19%,3.37%,3.123333333,,,,,,,,
Query 2,2.81%,3.19%,3.37%,3.123333333,,,,,,,,
Query 3,2.81%,3.19%,3.37%,3.123333333,,,,,,,,
Query 4,2.81%,3.19%,3.37%,3.123333333,,,,,,,,
Query 5,2.81%,3.19%,3.37%,3.123333333,,,,,,,,
,,,,,,,,,,,,
CPU usage (%),,,,,,,,,,,,
,Cycle 1,Cycle 2,Cycle 3,Average,,,,,,,,
Query 1,23.85%,17.90%,9.75%,17.16666667,,,,,,,,
Query 2,100.00%,14.25%,32.50%,48.91666667,,,,,,,,
Query 3,51.30%,0.00%,76.20%,42.5,,,,,,,,
Query 4,7.90%,52.65%,37.65%,32.73333333,,,,,,,,
Query 5,100.00%,45.25%,20.80%,55.35,,,,,,,,
,,,,,,,,,,,,
Throughput (records per second),,,,,,,,,,,,
,Cycle 1,Cycle 2,Cycle 3,Average,,,,,,,,
Query 1,0.93,9.1,12.79,7.606666667,,,,,,,,
Query 2,12,29.59,23.25,21.61333333,,,,,,,,
Query 3,9.03,12.38,9.93,10.44666667,,,,,,,,
Query 4,11.11,9.13,15.68,11.97333333,,,,,,,,
Query 5,1.34,2.58,3.19,2.37,,,,,,,,
