Method,Execution Time (s),CPU Usage (%),Memory Usage (%),Throughput (records/sec)
Sequential,0.6444277763366699,57.7,9.1,47847.09960095097
Multithreading,0.6805548667907715,56.3,9.1,45307.147894483496
Multiprocessing,0.9122815132141113,93.4,9.3,33798.777628812146
Dask,0.3456275463104248,79.4,9.7,89211.63931854695
