method,run,time_sec,cpu_%,memory_mb,throughput,avg_time_sec,avg_cpu_%,avg_memory_mb,avg_throughput,speedup_vs_baseline
Baseline Pandas,1,0.5214145183563232,15.35,11.7734375,48347.330410874216,0.3067646821339925,27.96666666666667,3.9244791666666665,128738.7224286296,1.0
Baseline Pandas,2,0.2995152473449707,23.35,0.0,84165.99897154883,0.3067646821339925,27.96666666666667,3.9244791666666665,128738.7224286296,1.0
Baseline Pandas,3,0.0993642807006836,45.2,0.0,253702.83790346576,0.3067646821339925,27.96666666666667,3.9244791666666665,128738.7224286296,1.0
