Run,Rows In,Rows Out,Time (s),Avg CPU (%),Peak RAM (MB),Throughput (rps)
Run 1,123501.0,121797.0,7.485,81.8,3709.3,16500.0
Run 2,123501.0,121797.0,8.2092,87.3,4283.2,15044.0
Run 3,123501.0,121797.0,4.6069,73.1,4652.3,26808.0
Run 4,123501.0,121797.0,6.3422,95.7,4891.2,19473.0
Run 5,123501.0,121797.0,4.5012,73.2,4926.4,27437.0
Average,123501.0,121797.0,6.228899999999999,82.22,4492.4800000000005,21052.4
