Model,Accuracy,Macro Precision,Macro Recall,Macro F1,Train Time (s),Predict Time (s),Throughput (rev/s)
Naive Bayes,0.6844,0.5791,0.6166,0.5797,0.018,0.001,997834.4
LSTM,0.7425,0.4497,0.5346,0.4839,104.461,0.7095,1406.7
